"state","bill_id","title","session","lastAction","signed","source","id"
"de","HB 419","AN ACT TO AMEND TITLE 11 OF THE DELAWARE CODE RELATING TO UNMANNED AIRCRAFT SYSTEMS.","149","2018-06-26",,"https://legis.delaware.gov/BillDetail?LegislationId=26688","DEB00003794"
"de","HB 328","AN ACT TO AMEND TITLE 11 OF THE DELAWARE CODE RELATING TO UNMANNED AIRCRAFT SYSTEMS.","149","2018-06-12","2018-06-12 00:00:00","https://legis.delaware.gov/BillDetail?LegislationId=26331","DEB00003526"
"de","HB 328","AN ACT TO AMEND TITLE 11 OF THE DELAWARE CODE RELATING TO UNMANNED AIRCRAFT SYSTEMS.","149","2018-03-28",,"https://legis.delaware.gov/BillDetail?LegislationId=26331","DEB00003567"
"id","H 539","UNMANNED AIRCRAFT SYSTEMS – Amends existing law to revise provisions regarding the use of unmanned aircraft systems.","2018","2018-02-12",,"http://legislature.idaho.gov/sessioninfo/2018/legislation/H0539/","IDB00004616"
"ca","AB 3173","Unmanned aircraft systems.","20172018","2018-08-09",,"http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB3173","CAB00026740"
"ca","SB 1355","Unmanned aircraft systems: correctional facilities.","20172018","2018-08-09",,"http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB1355","CAB00027534"
"ca","SB 1355","Unmanned aircraft systems: correctional facilities.","20172018","2018-04-03",,"http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB1355","CAB00026985"
"ca","AB 527","Pest control aircraft pilot's certificate: unmanned aircraft.","20172018","2017-10-02","2017-10-02 00:00:00","http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB527","CAB00020734"
"ks","HR 6043","A resolution urging the Federal Aviation Administration to accept Kansas’ application for the Unmanned Aerial Systems Integration Pilot Program.","2017-2018","2018-02-15",,"undefinedhttp://www.kslegislature.org/li/api/v11/rev-1/bill_status/hr6043|http://www.kslegislature.org/li/b2017_18/year1/measures/hr6043/|","KSB00005467"
"ks","SR 1759","A resolution urging the Federal Aviation Administration to accept Kansas’ application for the Unmanned Aerial Systems Integration Pilot Program.","2017-2018","2018-01-22",,"undefinedhttp://www.kslegislature.org/li/api/v11/rev-1/bill_status/sr1759|http://www.kslegislature.org/li/b2017_18/year1/measures/sr1759/|","KSB00005339"
"hi","SCR 143","REQUESTING THE DEPARTMENT OF BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM AND APPLIED RESEARCH LABORATORY AT THE UNIVERSITY OF HAWAII TO CONVENE A WORKING GROUP TO DEVELOP RECOMMENDATIONS REGARDING THE SAFE, LEGAL, AND BENEFICIAL USE OF UNMANNED AIRCRAFT SYSTEMS IN HAWAII.","2018 Regular Session","2018-04-16",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SCR&billnumber=143&year=2018","HIB00035481"
"hi","HB 1478","MAKING AN APPROPRIATION FOR UNMANNED AERIAL SYSTEM TECHNOLOGIES.","2018 Regular Session","2018-03-15",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=HB&billnumber=1478&year=2018","HIB00030102"
"hi","SB 2160","RELATING TO UNMANNED AERIAL VEHICLES.","2018 Regular Session","2018-02-07",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SB&billnumber=2160&year=2018","HIB00031517"
"hi","HB 2655","RELATING TO UNMANNED AERIAL SYSTEMS.","2018 Regular Session","2018-01-29",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=HB&billnumber=2655&year=2018","HIB00030051"
"hi","HB 1792","RELATING TO UNMANNED AERIAL VEHICLES.","2018 Regular Session","2018-01-22",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=HB&billnumber=1792&year=2018","HIB00033668"
"hi","SB 1051","RELATING TO UNMANNED AERIAL VEHICLES.","2018 Regular Session","2018-01-17",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SB&billnumber=1051&year=2018","HIB00031377"
"hi","SB 454","RELATING TO UNMANNED AERIAL VEHICLES.","2018 Regular Session","2018-01-17",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SB&billnumber=454&year=2018","HIB00033145"
"hi","HB 314","RELATING TO UNMANNED AERIAL VEHICLES.","2018 Regular Session","2018-01-17",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=HB&billnumber=314&year=2018","HIB00033498"
"hi","SB 710","RELATING TO UNMANNED AERIAL VEHICLES.","2018 Regular Session","2018-01-17",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SB&billnumber=710&year=2018","HIB00034066"
"hi","SB 1296","RELATING TO UNMANNED AIRCRAFT SYSTEMS TECHNOLOGIES.","2018 Regular Session","2017-11-30",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SB&billnumber=1296&year=2018","HIB00030018"
"hi","SB 632","RELATING TO UNMANNED AERIAL SYSTEMS.","2018 Regular Session","2017-11-30",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SB&billnumber=632&year=2018","HIB00033046"
"hi","SR 40","REQUESTING THE DEPARTMENT OF LAND AND NATURAL RESOURCES, IN COLLABORATION WITH THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION, TO EXPLORE THE POSSIBILITY OF USING AUTONOMOUS UNMANNED SURFACE VESSEL TECHNOLOGY TO DETECT AND CLEAN UP OCEAN DEBRIS BEFORE IT REACHES HAWAII'S REEFS AND BEACHES.","2017 Regular Session","2017-05-30",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SR&billnumber=40&year=2017","HIB00029500"
"hi","HB 1478","MAKING AN APPROPRIATION FOR UNMANNED AERIAL SYSTEM TECHNOLOGIES.","2017 Regular Session","2017-04-25",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=HB&billnumber=1478&year=2017","HIB00029034"
"hi","SCR 96","REQUESTING THE DEPARTMENT OF LAND AND NATURAL RESOURCES, IN COLLABORATION WITH THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION, TO EXPLORE THE POSSIBILITY OF USING AUTONOMOUS UNMANNED SURFACE VESSEL TECHNOLOGY TO DETECT AND CLEAN UP OCEAN DEBRIS BEFORE IT REACHES HAWAII'S REEFS AND BEACHES.","2017 Regular Session","2017-04-17",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SCR&billnumber=96&year=2017","HIB00029491"
"hi","HB 314","RELATING TO UNMANNED AERIAL VEHICLES.","2017 Regular Session","2017-03-13",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=HB&billnumber=314&year=2017","HIB00026467"
"hi","SB 710","RELATING TO UNMANNED AERIAL VEHICLES.","2017 Regular Session","2017-02-09",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SB&billnumber=710&year=2017","HIB00028844"
"hi","SB 632","RELATING TO UNMANNED AERIAL SYSTEMS.","2017 Regular Session","2017-02-08",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SB&billnumber=632&year=2017","HIB00028816"
